Experiment,time(min),Input 1 Pre,Input 2 Pre,Input 1,Input 2,Observable 1 mean,Observable 1 sd,Observable 2 mean,Observable 2 sd,Observable 3 mean,Observable 3 sd,Observable 4 mean,Observable 4 sd
1,910,1.00E-07,100,1.00E-07,100,9.84E-08,9.56E-09,35.397,3.8999,2338.5,245.02,173.37,16.614
1,915,1.00E-07,100,1.00E-07,100,9.49E-08,9.56E-09,37.74,3.9036,2937.4,247.37,172.91,16.369
1,920,1.00E-07,100,1.00E-07,100,7.87E-08,9.56E-09,38.486,3.9069,2423.3,249.55,159.42,16.143
1,925,1.00E-07,100,1.00E-07,100,9.60E-08,9.56E-09,32.962,3.9097,3091.6,251.58,139.93,15.935
1,930,1.00E-07,100,1.00E-07,100,1.02E-07,9.56E-09,35.929,3.9122,2534.7,253.46,173.8,15.742
1,935,1.00E-07,100,1.00E-07,100,9.42E-08,9.56E-09,44.268,3.9144,2525.2,255.2,131.24,15.564
1,940,1.00E-07,100,1.00E-07,100,9.05E-08,9.56E-09,38.033,3.9163,2468.1,256.81,147.96,15.399
1,945,1.00E-07,100,1.00E-07,100,8.93E-08,9.56E-09,46.309,3.918,2147.7,258.31,135.26,15.247
1,950,1.00E-07,100,1.00E-07,100,1.04E-07,9.56E-09,36.782,3.9194,2424.9,259.69,155.24,15.107
1,955,1.00E-07,100,1.00E-07,100,8.94E-08,9.56E-09,38.52,3.9207,2440.3,260.98,156.39,14.977
1,960,1.00E-07,100,1.00E-07,100,8.81E-08,9.56E-09,36.949,3.9218,2947.7,262.17,162.96,14.857
1,965,1.00E-07,100,1.00E-07,100,9.79E-08,9.56E-09,39.317,3.9227,2675,263.27,141.6,14.747
1,970,1.00E-07,100,1.00E-07,100,9.64E-08,9.56E-09,40.383,3.9236,3196.2,264.29,144.6,14.645
1,975,1.00E-07,100,1.00E-07,100,9.58E-08,9.56E-09,37.376,3.9243,2867.4,265.24,122.84,14.55
1,980,1.00E-07,100,1.00E-07,100,9.81E-08,9.56E-09,37.825,3.9249,3257.8,266.12,126.67,14.463
1,985,1.00E-07,100,1.00E-07,100,8.89E-08,9.56E-09,33.93,3.9255,2462.6,266.93,154.35,14.382
1,990,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,53.181,3.926,2789.9,267.68,146.06,14.308
1,995,1.00E-07,100,1.00E-07,100,9.61E-08,9.56E-09,35.242,3.9264,2996.8,268.37,130.86,14.239
1,1000,1.00E-07,100,1.00E-07,100,9.25E-08,9.56E-09,40.05,3.9268,2494.1,269.02,144.7,14.176
1,1005,1.00E-07,100,1.00E-07,100,1.12E-07,9.56E-09,45.234,3.9271,2510.7,269.61,111.14,14.117
1,1010,1.00E-07,100,1.00E-07,100,1.08E-07,9.56E-09,30.03,3.9274,3058.7,270.17,139.89,14.063
1,1015,1.00E-07,100,1.00E-07,100,8.41E-08,9.56E-09,39.742,3.9276,2300.8,270.68,150.84,14.013
1,1020,1.00E-07,100,1.00E-07,100,1.08E-07,9.56E-09,40.766,3.9279,2571.9,271.15,120.66,13.966
1,1025,1.00E-07,100,1.00E-07,100,8.65E-08,9.56E-09,30.925,3.9281,2348,271.59,144.97,13.924
1,1030,1.00E-07,100,1.00E-07,100,9.57E-08,9.56E-09,38.39,3.9282,2999,271.99,128.53,13.884
1,1035,1.00E-07,100,1.00E-07,100,1.07E-07,9.56E-09,34.479,3.9284,2852.6,272.36,110.9,13.848
1,1040,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,41.684,3.9285,2803.7,272.71,128.52,13.814
1,1045,1.00E-07,100,1.00E-07,100,9.46E-08,9.56E-09,40.174,3.9286,2363.7,273.03,134.68,13.783
1,1050,1.00E-07,100,1.00E-07,100,1.05E-07,9.56E-09,40.825,3.9287,2735.9,273.33,120.29,13.754
1,1055,1.00E-07,100,1.00E-07,100,1.04E-07,9.56E-09,41.015,3.9288,3111.9,273.6,129.16,13.728
1,1060,1.00E-07,100,1.00E-07,100,9.85E-08,9.56E-09,41.016,3.9288,2855.3,273.86,140.82,13.703
1,1065,1.00E-07,100,1.00E-07,100,8.31E-08,9.56E-09,41.571,3.9289,2538.4,274.09,150.06,13.681
1,1070,1.00E-07,100,1.00E-07,100,9.42E-08,9.56E-09,39.116,3.929,2631,274.31,145.12,13.66
1,1075,1.00E-07,100,1.00E-07,100,1.05E-07,9.56E-09,41.856,3.929,2332.3,274.51,147.09,13.641
