Experiment,Time,TR_U,READOUT_OBS1,READOUT_OBS2,READOUT_OBS3,READOUT_OBS4,READOUT_OBS5,STD_OBS1,STD_OBS2,STD_OBS3,STD_OBS4,STD_OBS5
2,300,0,0.0395916031577801,0.409346973502857,0.0117261132667198,0.00903969140050258,0.0121377934326844,0.00450014507148783,0.0382852865120984,0.00123122758375687,0.00102011212241303,0.00137909582668759
2,305,0,0.0521201420812999,0.41720309104074,0.0121813473494621,0.00905323455277733,0.0119393177323008,0.00450014507144978,0.0382852865201768,0.00123122758375943,0.00102011212241194,0.0013790958266877
2,310,0,0.0496038724626535,0.33283926481678,0.0115969224752497,0.0112308305891754,0.0143429997179386,0.00450014507140437,0.0382852865299049,0.00123122758376249,0.00102011212241072,0.00137909582668802
2,315,0,0.0521170178411622,0.389795581592773,0.0134657086084597,0.0112065336972257,0.0155707481550055,0.00450014507135159,0.0382852865412829,0.00123122758376606,0.00102011212240938,0.00137909582668854
2,320,0,0.0466868347278187,0.348377680469207,0.0103616620489728,0.0104860228462187,0.0160354828506327,0.00450014507129145,0.0382852865543107,0.00123122758377015,0.00102011212240791,0.00137909582668927
2,325,0,0.0390332049159593,0.300174181260518,0.0123260486458288,0.0106602431336372,0.0122699277102112,0.00450014507122394,0.0382852865689883,0.00123122758377474,0.00102011212240631,0.0013790958266902
2,330,0,0.0429122351739995,0.369641624352757,0.0129952688997038,0.00937238933583018,0.0114742904267633,0.00450014507115869,0.0382852865830264,0.00123122758377912,0.0010201121224048,0.00137909582669112
2,335,0,0.0376503841271462,0.396997209331011,0.0121863768025528,0.00917277860364238,0.0136136351411455,0.00450014507114702,0.0382852865842108,0.00123122758377942,0.00102011212240456,0.00137909582669086
2,340,0,0.0397539134734321,0.409999394844671,0.0145885107010697,0.0116812450724433,0.0144315794889233,0.00450014507113437,0.0382852865855253,0.00123122758377974,0.00102011212240433,0.00137909582669067
2,345,0,0.045120017125604,0.333067020729015,0.0127945292116988,0.0102603839483801,0.0127905179330275,0.00450014507112074,0.03828528658697,0.0012312275837801,0.00102011212240412,0.00137909582669054
2,350,0,0.0448962308252029,0.333982307466701,0.0122788897931222,0.0112034128644863,0.0138485979992483,0.00450014507110614,0.0382852865885448,0.00123122758378048,0.00102011212240393,0.00137909582669046
2,355,0,0.0469957895289252,0.378520763705305,0.0126479463933909,0.0114431606122859,0.0139149220498321,0.00450014507109055,0.0382852865902497,0.0012312275837809,0.00102011212240376,0.00137909582669045
2,360,0,0.0424733192905243,0.409344632175053,0.0120065611658109,0.00906033493934353,0.015936272738765,0.00450014507107399,0.0382852865920848,0.00123122758378134,0.00102011212240361,0.00137909582669051
